CAI;Производитель;Модель;Ширина (мм);;;;;;;;;;;
AB5157;Antares;Ingens-Locus;245;40;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;14;10 320;9 550
AB6098;Antares;Ingens-Locus;245;45;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;1;11 610;10 750
AB6090;Antares;Ingens-Locus;245;35;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;2;6 460;5 980
AB6094;Antares;Ingens-Locus;245;40;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;2;10 750;9 950
AB6630;Antares;Ingens-Locus;245;40;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/AB6630.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/AB6630.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_AB6630.png;16;8 190;7 580
AB6116;Antares;Ingens-Locus;255;45;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;29;8 210;7 599
AB6616;Antares;Ingens-Locus;255;45;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;23;8 080;7 480
AB6624;Antares;Ingens-Locus;255;35;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;4;7 220;6 680
AB6658;Antares;Ingens-Locus;265;50;R20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;6;8 620;7 980
AB794;Antares;Ingens-Locus;265;40;R22;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;8;9 160;8 480
AB6618;Antares;Ingens-Locus;265;45;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;21;8 860;8 199
AB6615;Antares;Ingens-Locus;275;45;R20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;10;9 380;8 680
AB6093;Antares;Ingens-Locus;275;35;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;14;11 870;10 990
AB6092;Antares;Ingens-Locus;275;35;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;3;7 930;7 340
AB6625;Antares;Ingens-Locus;275;35;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;9;9 070;8 397
AB6617;Antares;Ingens-Locus;275;40;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;19;8 220;7 606
AB6656;Antares;Ingens-Locus;275;55;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;4;10 320;9 550
AB717;Antares;Ingens-Locus;275;45;ZR21;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;39;9 700;8 980
AB657U;Antares;Majoris M5;255;40;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Majoris_M5/small/AB657U.png;https://4tochki.ru/pictures/tyres/Antares/Majoris_M5/big/AB657U.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Majoris_M5/src/big_AB657U.png;4;8 080;7 480
AB759U;Antares;Majoris M5;285;35;ZR22;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Majoris_M5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Majoris_M5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Majoris_M5/src/big_0.png;6;10 570;9 780
AB5033;Antares;Majoris R1;215;55;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Majoris_R1/src/big_0.png;40;5 960;5 510
AB5018;Antares;Majoris R1;225;55;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Majoris_R1/src/big_0.png;более 40;5 780;5 345
AB4133;Antares;Majoris R1;235;60;R17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Majoris_R1/src/big_0.png;2;7 240;6 695
AB5021;Antares;Majoris R1;235;55;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Majoris_R1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Majoris_R1/src/big_0.png;более 40;6 440;5 960
